country,datetime_utc,price_eur,granularity_minutes,source,ingestion_ts
ES,2026-08-25T00:00:00.000Z,152.86,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T00:15:00.000Z,150.85,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T00:30:00.000Z,149.3,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T00:45:00.000Z,147.19,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T01:00:00.000Z,147.49,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T01:15:00.000Z,146.04,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T01:30:00.000Z,146.26,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T01:45:00.000Z,144.81,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T02:00:00.000Z,146.47,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T02:15:00.000Z,147.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T02:30:00.000Z,147.94,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T02:45:00.000Z,148.93,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T03:00:00.000Z,151.86,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T03:15:00.000Z,153.4,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T03:30:00.000Z,158.38,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T03:45:00.000Z,164.3,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T04:00:00.000Z,163.97,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T04:15:00.000Z,167.14,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T04:30:00.000Z,171.62,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T04:45:00.000Z,181.19,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T05:00:00.000Z,182.68,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T05:15:00.000Z,192.99,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T05:30:00.000Z,190.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T05:45:00.000Z,179.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T06:00:00.000Z,198.47,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T06:15:00.000Z,184.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T06:30:00.000Z,179.62,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T06:45:00.000Z,168.55,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T07:00:00.000Z,155.29,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T07:15:00.000Z,152.89,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T07:30:00.000Z,134.84,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T07:45:00.000Z,93.34,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T08:00:00.000Z,106.29,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T08:15:00.000Z,101.94,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T08:30:00.000Z,91.4,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T08:45:00.000Z,92.35,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T09:00:00.000Z,89.9,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T09:15:00.000Z,38.55,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T09:30:00.000Z,20.75,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T09:45:00.000Z,20.51,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T10:00:00.000Z,78.7,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T10:15:00.000Z,75.88,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T10:30:00.000Z,37.86,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T10:45:00.000Z,80.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T11:00:00.000Z,73.74,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T11:15:00.000Z,38.54,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T11:30:00.000Z,35.88,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T11:45:00.000Z,45.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T12:00:00.000Z,30.07,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T12:15:00.000Z,32.79,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T12:30:00.000Z,26.38,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T12:45:00.000Z,16.56,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T13:00:00.000Z,24.11,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T13:15:00.000Z,15.7,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T13:30:00.000Z,16.4,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T13:45:00.000Z,19.47,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T14:00:00.000Z,15.1,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T14:15:00.000Z,19.79,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T14:30:00.000Z,28.06,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T14:45:00.000Z,40.24,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T15:00:00.000Z,71.98,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T15:15:00.000Z,89.05,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T15:30:00.000Z,72.99,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T15:45:00.000Z,79.9,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T16:00:00.000Z,77.4,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T16:15:00.000Z,52.2,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T16:30:00.000Z,69.6,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T16:45:00.000Z,83.87,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T17:00:00.000Z,100.47,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T17:15:00.000Z,124.54,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T17:30:00.000Z,130.04,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T17:45:00.000Z,200.0,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T18:00:00.000Z,211.89,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T18:15:00.000Z,216.55,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T18:30:00.000Z,216.66,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T18:45:00.000Z,235.01,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T19:00:00.000Z,221.06,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T19:15:00.000Z,225.83,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T19:30:00.000Z,221.83,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T19:45:00.000Z,216.34,15,entsoe,2026-09-04T23:11:14.448Z
ES,2026-08-25T20:00:00.000Z,215.75,15,entsoe,2026-09-04T23:11:14.448Z
