country,datetime_utc,price_eur,granularity_minutes,source,ingestion_ts
RO,2026-08-25T00:00:00.000Z,177.04,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T00:15:00.000Z,181.57,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T00:30:00.000Z,178.97,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T00:45:00.000Z,180.67,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T01:00:00.000Z,180.86,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T01:15:00.000Z,177.7,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T01:30:00.000Z,172.06,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T01:45:00.000Z,171.5,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T02:00:00.000Z,171.88,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T02:15:00.000Z,171.73,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T02:30:00.000Z,169.38,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T02:45:00.000Z,183.73,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T03:00:00.000Z,173.12,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T03:15:00.000Z,172.89,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T03:30:00.000Z,179.56,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T03:45:00.000Z,190.77,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T04:00:00.000Z,195.62,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T04:15:00.000Z,199.96,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T04:30:00.000Z,191.96,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T04:45:00.000Z,192.41,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T05:00:00.000Z,200.18,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T05:15:00.000Z,195.84,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T05:30:00.000Z,185.79,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T05:45:00.000Z,177.8,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T06:00:00.000Z,192.88,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T06:15:00.000Z,174.73,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T06:30:00.000Z,166.69,15,entsoe,2026-09-04T23:13:05.801Z
RO,2026-08-25T06:45:00.000Z,158.32,15,entsoe,2026-09-04T23:13:05.801Z
